Plants Non-Toxic to Cats
Impatience Plant | Giant Touch-Me-Not, Buzzy Lizzy, Patient Lucy, Patient Plant, Tangerine Impatience  | Impatiens spp. | Balsaminaceae
Irish Moss | Club Moss, Cushion Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss  | Selaginella kraussiana | Selaginellaceae
Iron Tree | Maui Sunset, Flame of the Woods  | Ixora coccinea | Rubiaceae
Ivy Peperomia | Plantinum Peperomia, Silver leaf Peperomia, Ivy leaf Peperomia  | Peperomia griseoargentea | Piperaceae
Jackson Brier |   | Smilax lanceolata | Liliaceae
Jacob's Ladder | Carrion Flower  | Smilax herbacea | Liliaceae
Japanese Aralia | Formosa rice tree, Glossy-leaved paper plant, Big-leaf paper plant  | Fatsia japonica | Araliaceae
Japanese Holly Fern | Fishtail Fern, Holly Fern  | Cyrtomium falcatum | Polypodaceae
Japanese Moss | Club Moss, Cushion Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss, Irish Moss  | Selaginella kraussiana | Selaginellaceae
Japanese Pittosporum | Australian laurel, Mock orange  | Pittosporum tobira | Pittosporaceae
Jasmine |   | Jasminum species | Oleaceae
Jewel Orchid | Golden Lace Orchid  | Haemaria discolor | Orchidaceae
Joseph's Coat | Chicken Gizzard, Yellow Bloodleaf, Bloodleaf  | Iresine herbstii | Amaranthaceae
Jungle Geranium |   | Ixora javanica | Rubiaceae
Kaempferia | Peacock Ginger  | Kaempferia spp. | Zingiberaceae
Kahali Ginger |   | Hedychium gardnerianum | Zingiberaceae
Kenilworth Ivy | Coliseum Ivy  | Cymbalaria muralis | Scrophulariaceae
Kentia Palm | Forster Senty Palm  | Howea forsteriana | Howea forsteriana
Kenya Violet | Usambra violet  | Saintpaulia confusa | Gesneraceae
Kharoub | Carob Tree, Sugar Pods, Locust Pods, Beans  | Ceratonia siliqua | Family:
King and Queen Fern | Hen and Chickens Fern, Spleenwort, Parsley fern  | Asplenium bulbiferum | Polypodaceae
King Nut |   | Carya laciniosa | Juglandaceae
King of the Forest | Golden Jewel Orchid  | Anoectuchilus setaceus | Orchidaceae
Kuang-yen-pa-hsieh | China Root, Ti-hu-ling, Shiny Leaf Smilax, Cat Brier  | Smilax glabra | Liliaceae
Lace Flower Vine | Chocolate Soldier  | Episcia dianthiflora | Gesneriaceae
Lace Orchid |   | Odontoglossum crispum | Orchidaceae
Ladies Ear Drops |   | Fuschsia spp. | Onagraceae
Lady Lou | Flame Violet, Red Violet, Flame African Violet  | Episcia reptans | Gesneriaceae
Lady Palm |   | Rhapis flabelliformus | Arecaceae
Lady Slipper | Giant Touch-Me-Not, Buzzy Lizzy, Patient Lucy, Patient Plant, Tangerine Impatience, Impatience Plant  | Impatiens spp. | Balsaminaceae
Lagerstroemia Indica | Crepe/Crape Myrtle  | Lagerstroemia indica | Lythraceae
Lance Pleomele |   | Draceana spp. | Asparagaceae
Laurel-Leaved Greenbrier | Blaspheme vine, Bamboo Vine  | Smilax laurifolia | Liliaceae
Leather Peperomia |   | Peperomia crassifolia | Piperaceae
Lemon Balm | Balm, Common Balm, Balm mint  | Melissa officinalis | Lamiaceae
Leopard Orchid | Tiger Orchid  | Dendrobium gracilicaule | Orchidaceae
Lesser Snapdragon |   | Antirrhinum orontium | Mimosaceae
Lily of the Valley Orchid |   | Odontoglossum pulchellum | Orchidaceae
Linden |   | Tilia americana | Tiliaceae
Lipstick Plant |   | Aeschynanthus humilis | Gesneraceae
Little Fantasy Peperomia | Green Ripple Peperomia, Emerald Ripple Peperomia  | Peperomia caperata | Piperaceae
Little Zebra Plant |   | Haworthia subfasciata | Aloaceae
Living Rock Cactus | African living rock, Mimicry plant  | Pleiospilos bolusii | Aizoaceae
Living Stones | Kiawe, Mesquite  | Lithops naureeniae | Aizoaceae
Loco Weed | Oxytropis spp.  | Locoweed  | Oxytropis spp. | Fabaceae
Locust Pods | Carob Tree, Sugar Pods, Kharoub, Beans  | Ceratonia siliqua | Family:
Madagascar Jasmine | Wax Flower, Bride's Flower, Clustered Wax Flower  | Stephanotis floribunda | Ascleopiadaceae
Magnolia Bush | Star Magnolia  | Magnolia stellata | Magnoliaceae
Mahonia | Oregon Grape, Oregon Grape Holly, Mahonia aguifolium, Holly-leaved berry  | Mahonia aquifolium | Berberidaceae
Majesty Palm | Majestic Palm  | Ravenea rivularis | Aracaceae
Malabar Gourd | Fig-leaf gourd  | Cucurbita ficifolia | Cucurbitaceae
Manila Palm | Dwarf Royal Palm, Christmas Palm  | Veitchia merrillii | Arecaceae
Maranta |   | Calathea insignis | Marantaceae
Marbled Fingernail | Fingernail Plant  | Neoregelia spectabilis | Bromeliaceae
Mariposa Lily | Sego Lily  | Calochortus gunnisonii | Liliaceae
Maroon | Copper Rose  | Echeveria multicaulis | Crassulaceae
Maroon Chenille Plant | Blue Echeveria, Painted Lady, Copper Rose, Wax Rosette, Plush Plant  | Echeveria derenbergii | Crassulaceae
